Brand Name,Generic Name,Has Boxed Warning,Boxed Warning Details
Lisinopril and Hydrochlorothiazide,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue lisinopril and hydrochlorothiazide tablets as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. See Warnings, Fetal Toxicity ."
Glimepiride,GLIMEPIRIDE,No,No Boxed Warning
Fenofibrate,FENOFIBRATE,No,No Boxed Warning
MEB Gluco-Vitality Patch,MEB GLUCO-VITALITY PATCH,No,No Boxed Warning
Metoprolol Tartrate,METOPROLOL TARTRATE,No,No Boxed Warning
Lisinopril and Hydrochlorothiazide,LISINOPRIL AND HYDROCHLOROTHIAZIDE,Yes,"WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue lisinopril and hydrochlorothiazide as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. See WARNINGS: Fetal Toxicity ."
Amlodipine Besylate,AMLODIPINE BESYLATE,No,No Boxed Warning
Glimepiride,GLIMEPIRIDE,No,No Boxed Warning
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Yes,"BOXED WARNING WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin­ associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin­ associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [see Warnings and Precautions (5.1) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see Dosage and Administration (2.3), (2.7 ) , C ontraindications (4) , Warnings and Precautions (5.1) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [ see Warnings and Precautions (5.1 ) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin­ associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
COLESEVELAM HYDROCHLORIDE,COLESEVELAM HYDROCHLORIDE,No,No Boxed Warning
atorvastatin calcium,ATORVASTATIN FILM COATED,No,No Boxed Warning
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [see Warnings and Precautions (5.1) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see Dosage and Administration (2.3) , (2.7), Contraindications (4) , Warnings and Precautions (5.1) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see Warnings and Precautions (5.1) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. ● Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) ● Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) ● If lactic acidosis is suspected, discontinue metformin hydrochloride and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
Fenofibrate,FENOFIBRATE,No,No Boxed Warning
olmesartan medoxomil-hydrochlorothiazide,OLMESARTAN MEDOXOMIL-HYDROCHLOROTHIAZIDE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue olmesartan medoxomil and hydrochlorothiazide as soon as possible [see Warnings and Precautions (5.1) ] . Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ] . WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue olmesartan medoxomil and hydrochlorothiazide as soon as possible ( 5.1 ). Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 )."
MEB Puri-Mega,MEB PURI-MEGA,No,No Boxed Warning
Metoprolol Succinate,METOPROLOL SUCCINATE ER TABLETS,No,No Boxed Warning
Lisinopril and Hydrochlorothiazide,LISINOPRIL AND HYDROCHLOROTHIAZIDE,Yes,"WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue lisinopril and hydrochlorothiazide as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. See WARNINGS: Fetal Toxicity ."
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue benazepril hydrochloride tablets as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions ( 5.1 )]. WARNING-FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue benazepril hydrochloride tablets as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
Atorvastatin calcium,ATORVASTATIN CALCIUM,No,No Boxed Warning
FARXIGA,DAPAGLIFLOZIN,No,No Boxed Warning
Lisinopril,LISINOPRIL,Yes,"WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue lisinopril as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 ) WARNING: FETAL TOXICITY When pregnancy is detected, discontinue lisinopril as soon as possible [see WARNINGS AND PRECAUTIONS ( 5.1 )] . Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see WARNINGS AND PRECAUTIONS ( 5.1 )] ."
Losartan Potassium,LOSARTAN POTASSIUM,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue losartan potassium as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue losartan potassium as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1)"
Simvastatin,SIMVASTATIN,No,No Boxed Warning
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (> 5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally > 5 mcg/mL [see Warnings and Precautions (5.1) ] . Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g., carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see Dosage and Administration (2.3) , Contraindications (4) , Warnings and Precautions (5.1) ] . If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see Warnings and Precautions (5.1) ] . WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally > 5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age > 65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
Lovastatin,LOVASTATIN,No,No Boxed Warning
Metoprolol Succinate,METOPROLOL SUCCINATE,No,No Boxed Warning
Lopressor,METOPROLOL TARTRATE,No,No Boxed Warning
Glipizide,GLIPIZIDE,No,No Boxed Warning
Metoprolol Tartrate,METOPROLOL TARTRATE,No,No Boxed Warning
Irbesartan,IRBESARTAN,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue irbesartan tablets as soon as possible [see Warnings and Precautions ( 5.1 ) and Use in Specific Populations ( 8.1 )]. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions ( 5.1 ) and Use in Specific Populations ( 8.1 ) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue irbesartan tablets as soon as possible. ( 5.1 , 8.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 , 8.1 )"
Lovastatin,LOVASTATIN,No,No Boxed Warning
Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,No,No Boxed Warning
LISINOPRIL,LISINOPRIL,Yes,"WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue lisinopril as soon as possible [see Warnings and Precautions (5.1) ]. • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. • When pregnancy is detected, discontinue lisinopril as soon as possible. (5.1) • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1)"
Lisinopril and Hydrochlorothiazide,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS,Yes,"WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue lisinopril and hydrochlorothiazide tablets as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. See Warnings: Fetal Toxicity ."
Amlodipine and Olmesartan Medoxomil,AMLODIPINE AND OLMESARTAN MEDOXOMIL,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue amlodipine and olmesartan medoxomil tablets as soon as possible ( 5.1 , 8.1 ). Drugs that act directly on the renin-angiotensin system (RAS) can cause injury and death to the developing fetus ( 5.1 , 8.1 ). WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue amlodipine and olmesartan medoxomil tablets as soon as possible ( 5.1 , 8.1 ). Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 , 8.1 )."
Lovastatin,LOVASTATIN,No,No Boxed Warning
Glipizide,GLIPIZIDE,No,No Boxed Warning
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue benazepril hydrochloride tablets as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions ( 5.1 )]. WARNING-FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue benazepril hydrochloride tablets as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,Yes,"WARNING: CONGESTIVE HEART FAILURE Thiazolidinediones, including pioglitazone , cause or exacerbate congestive heart failure in some patients [see Warnings and Precautions (5.1) ] . After initiation of pioglitazone , and after dose increases, monitor patients carefully for signs and symptoms of heart failure (e.g., excessive, rapid weight gain, dyspnea, and/or edema). If heart failure develops, it should be managed according to current standards of care and discontinuation or dose reduction of pioglitazone must be considered. Pioglitazone is not recommended in patients with symptomatic heart failure. Initiation of pioglitazone in patients with established New York Heart Association (NYHA) Class III or IV heart failure is contraindicated [see Contraindications (4) and Warnings and Precautions (5.1) ] . WARNING: CONGESTIVE HEART FAILURE See full prescribing information for complete boxed warning. Thiazolidinediones, including pioglitazone, cause or exacerbate congestive heart failure in some patients. (5.1) After initiation of pioglitazone, and after dose increases, monitor patients carefully for signs and symptoms of heart failure (e.g., excessive, rapid weight gain, dyspnea, and/or edema). If heart failure develops, it should be managed according to current standards of care and discontinuation or dose reduction of pioglitazone must be considered. (5.1) Pioglitazone is not recommended in patients with symptomatic heart failure. (5.1) Initiation of pioglitazone in patients with established New York Heart Association (NYHA) Class III or IV heart failure is contraindicated. (4 , 5.1)"
Glipizide,GLIPIZIDE,No,No Boxed Warning
Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,No,No Boxed Warning
Olmesartan Medoxomil and Hydrochlorothiazide,OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue olmesartan medoxomil and hydrochlorothiazide as soon as possible [see Warnings and Precautions (5.1) ]. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue olmesartan medoxomil and hydrochlorothiazide as soon as possible ( 5.1 ). Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 )."
Simvastatin,SIMVASTATIN,No,No Boxed Warning
MEB Puri-vega,MEB PURI-VEGA,No,No Boxed Warning
Lovastatin,LOVASTATIN,No,No Boxed Warning
Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,No,No Boxed Warning
LISINOPRIL,LISINOPRIL,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue lisinopril as soon as possible [see Warnings and Precautions (5.1) ]. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue lisinopril as soon as possible. (5.1) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1)"
Valsartan,VALSARTAN,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue valsartan as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 ) WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue valsartan as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
Isoniazid,ISONIAZID,Yes,"WARNING Severe and sometimes fatal hepatitis associated with isoniazid therapy has been reported and may occur or may develop even after many months of treatment. The risk of developing hepatitis is age related. Approximate case rates by age are: less than 1 per 1,000 for persons under 20 years of age, 3 per 1,000 for persons in the 20 to 34 year age group, 12 per 1,000 for persons in the 35 to 49 year age group, 23 per 1,000 for persons in the 50 to 64 year age group and 8 per 1,000 for persons over 65 years of age. The risk of hepatitis is increased with daily consumption of alcohol. Precise data to provide a fatality rate for isoniazid-related hepatitis is not available; however, in a U.S. Public Health Service Surveillance Study of 13,838 persons taking isoniazid, there were 8 deaths among 174 cases of hepatitis. Therefore, patients given isoniazid should be carefully monitored and interviewed at monthly intervals. For persons 35 and older, in addition to monthly symptom reviews, hepatic enzymes (specifically, AST and ALT [formerly SGOT and SGPT, respectively]) should be measured prior to starting isoniazid therapy and periodically throughout treatment. Isoniazid-associated hepatitis usually occurs during the first three months of treatment. Usually, enzyme levels return to normal despite continuance of drug, but in some cases progressive liver dysfunction occurs. Other factors associated with an increased risk of hepatitis include daily use of alcohol, chronic liver disease and injection drug use. A recent report suggests an increased risk of fatal hepatitis associated with isoniazid among women, particularly black and Hispanic women. The risk may also be increased during the post partum period. More careful monitoring should be considered in these groups, possibly including more frequent laboratory monitoring. If abnormalities of liver function exceed three to five times the upper limit of normal, discontinuation of isoniazid should be strongly considered. Liver function tests are not a substitute for a clinical evaluation at monthly intervals or for the prompt assessment of signs or symptoms of adverse reactions occurring between regularly scheduled evaluations. Patients should be instructed to immediately report signs or symptoms consistent with liver damage or other adverse effects. These include any of the following: unexplained anorexia, nausea, vomiting, dark urine, icterus, rash, persistent paresthesias of the hands and feet, persistent fatigue, weakness or fever of greater than 3 days duration and/or abdominal tenderness, especially right upper quadrant discomfort. If these symptoms appear or if signs suggestive of hepatic damage are detected, isoniazid should be discontinued promptly, since continued use of the drug in these cases has been reported to cause a more severe form of liver damage. Patients with tuberculosis who have hepatitis attributed to isoniazid should be given appropriate treatment with alternative drugs. If isoniazid must be reinstituted, it should be reinstituted only after symptoms and laboratory abnormalities have cleared. The drug should be restarted in very small and gradually increasing doses and should be withdrawn immediately if there is any indication of recurrent liver involvement. Preventive treatment should be deferred in persons with acute hepatic diseases."
Losartan Potassium and Hydrochlorothiazide,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue losartan potassium and hydrochlorothiazide tablets as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions ( 5.1 )]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue losartan potassium and hydrochlorothiazide tablets as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
Colestipol Hydrochloride,COLESTIPOL HYDROCHLORIDE,No,No Boxed Warning
Glipizide and Metformin Hydrochloride,GLIPIZIDE AND METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (> 5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally > 5 mcg/mL [see PRECAUTIONS]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g., carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see PRECAUTIONS]. If metformin-associated lactic acidosis is suspected, immediately discontinue glipizide and metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see PRECAUTIONS]."
Torsemide,TORSEMIDE,No,No Boxed Warning
Lisinopril,LISINOPRIL,Yes,"WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue lisinopril as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 ) WARNING: FETAL TOXICITY When pregnancy is detected, discontinue lisinopril as soon as possible [see WARNINGS AND PRECAUTIONS ( 5.1 )] . Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see WARNINGS AND PRECAUTIONS ( 5.1 )] ."
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,No,No Boxed Warning
OLMESARTAN MEDOXOMIL and HYDROCHLOROTHIAZIDE,OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,Yes,"WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue olmesartan medoxomil and hydrochlorothiazide tablets as soon as possible [see Warnings and Precautions ( 5.1 ) Use in Specific Populations ( 8.1 )]. • Drugs that act directly on the renin-angiotensin system (RAS) can cause injury and death to the developing fetus [see Warnings and Precautions ( 5.1 ) Use in Specific Populations ( 8.1 )]. See full prescribing information for complete boxed warning. • When pregnancy is detected, discontinue olmesartan medoxomil and hydrochlorothiazide tablets as soon as possible ( 5.1 , 8.1 ). • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 , 8.1 )."
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Yes,"BOXED WARNING WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin­ associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin­ associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [see Warnings and Precautions (5.1) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see Dosage and Administration (2.3), (2.7 ) , C ontraindications (4) , Warnings and Precautions (5.1) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [ see Warnings and Precautions (5.1 ) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin­ associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
Amlodipine and Atorvastatin,AMLODIPINE AND ATORVASTATIN,No,No Boxed Warning
